,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry
0,AAPL251017C00090000,2025-10-14 16:57:57+00:00,90.0,157.94,155.95,157.05,0.0,0.0,2.0,27.0,4.562504296875,True,REGULAR,USD,call,2025-10-17
1,AAPL251017C00095000,2025-09-22 18:27:13+00:00,95.0,160.4,150.95,152.05,0.0,0.0,,2.0,4.312504609374999,True,REGULAR,USD,call,2025-10-17
2,AAPL251017C00100000,2025-10-08 16:18:34+00:00,100.0,158.38,145.95,147.55,0.0,0.0,1.0,19.0,5.437503203124999,True,REGULAR,USD,call,2025-10-17
3,AAPL251017C00105000,2025-07-21 14:02:53+00:00,105.0,110.26,122.4,124.25,0.0,0.0,2.0,14.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-10-17
4,AAPL251017C00110000,2025-10-13 19:51:08+00:00,110.0,136.31,135.95,137.05,-2.050003,-1.4816443,3.0,392.0,3.6875007812500002,True,REGULAR,USD,call,2025-10-17
5,AAPL251017C00115000,2025-08-20 19:50:00+00:00,115.0,112.7,129.8,132.05,0.0,0.0,1.0,99.0,5.199222250976563,True,REGULAR,USD,call,2025-10-17
6,AAPL251017C00120000,2025-07-16 13:52:22+00:00,120.0,91.56,107.8,109.05,0.0,0.0,1.0,67.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-10-17
7,AAPL251017C00125000,2025-09-16 13:52:04+00:00,125.0,114.66,122.0,123.45,0.0,0.0,3.0,19.0,5.38086264892578,True,REGULAR,USD,call,2025-10-17
8,AAPL251017C00130000,2025-10-16 18:08:02+00:00,130.0,115.95,115.95,117.1,-8.450005,-6.7926083,1.0,164.0,3.2031269921874994,True,REGULAR,USD,call,2025-10-17
9,AAPL251017C00135000,2025-10-15 14:24:27+00:00,135.0,113.65,110.95,112.1,-2.5499954,-2.1944883,1.0,73.0,3.031252421875,True,REGULAR,USD,call,2025-10-17
10,AAPL251017C00140000,2025-10-15 15:28:28+00:00,140.0,110.3,105.95,107.55,0.0,0.0,4.0,75.0,3.5468761328125,True,REGULAR,USD,call,2025-10-17
11,AAPL251017C00145000,2025-10-15 18:53:00+00:00,145.0,104.74,101.0,102.1,0.0,0.0,2.0,179.0,2.82031544921875,True,REGULAR,USD,call,2025-10-17
12,AAPL251017C00150000,2025-10-15 18:51:43+00:00,150.0,99.68,96.0,97.1,0.0,0.0,8.0,634.0,2.6562533593750004,True,REGULAR,USD,call,2025-10-17
13,AAPL251017C00155000,2025-10-10 18:48:20+00:00,155.0,91.56,91.0,92.1,0.0,0.0,3.0,174.0,2.50000375,True,REGULAR,USD,call,2025-10-17
14,AAPL251017C00160000,2025-10-15 15:28:57+00:00,160.0,90.21,86.0,87.1,0.0,0.0,2.0,300.0,2.3437541406249993,True,REGULAR,USD,call,2025-10-17
15,AAPL251017C00165000,2025-10-16 18:08:02+00:00,165.0,81.02,81.0,82.25,-1.1500015,-1.3995395,7.0,236.0,2.394535263671875,True,REGULAR,USD,call,2025-10-17
16,AAPL251017C00170000,2025-10-16 15:54:56+00:00,170.0,78.03,76.0,77.1,-0.9000015,-1.1402528,11.0,642.0,2.03906740234375,True,REGULAR,USD,call,2025-10-17
17,AAPL251017C00175000,2025-10-16 13:45:01+00:00,175.0,71.25,71.0,72.1,-2.2600021,-3.0744145,5.0,960.0,1.8984380078125,True,REGULAR,USD,call,2025-10-17
18,AAPL251017C00180000,2025-10-16 15:37:18+00:00,180.0,68.21,66.0,67.1,-0.84000397,-1.2165154,11.0,1646.0,1.75390748046875,True,REGULAR,USD,call,2025-10-17
19,AAPL251017C00185000,2025-10-16 13:45:01+00:00,185.0,63.06,61.3,62.35,-0.95000076,-1.4841442,2.0,648.0,2.0293018017578124,True,REGULAR,USD,call,2025-10-17
20,AAPL251017C00190000,2025-10-16 18:32:18+00:00,190.0,55.67,56.45,56.85,-3.130001,-5.3231316,32.0,1363.0,1.669923525390625,True,REGULAR,USD,call,2025-10-17
21,AAPL251017C00195000,2025-10-16 18:53:28+00:00,195.0,51.41,51.3,52.5,-2.790001,-5.147603,14.0,1824.0,1.7685558447265624,True,REGULAR,USD,call,2025-10-17
22,AAPL251017C00200000,2025-10-16 18:57:50+00:00,200.0,46.55,46.45,46.8,-2.420002,-4.941805,204.0,2709.0,1.3476595117187498,True,REGULAR,USD,call,2025-10-17
