contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,underlying,expiry,snapshot_date
AVGO280121C00170000,2025-12-12 20:53:38+00:00,170.0,213.0,211.0,215.5,-44.0,-17.120623,10.0,87.0,0.6151466708374024,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00175000,2025-12-10 16:03:35+00:00,175.0,206.8,207.5,212.0,-41.449997,-16.696877,1.0,40.0,0.6123390817260744,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00180000,2025-12-11 17:17:41+00:00,180.0,245.75,203.5,208.5,0.0,0.0,1.0,10.0,0.6066018344116212,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00185000,2025-12-12 14:51:41+00:00,185.0,209.13,200.0,205.0,-18.440002,-8.103002,6.0,65.0,0.6031533825683595,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00190000,2025-12-12 15:05:34+00:00,190.0,206.0,196.5,200.5,-36.130005,-14.921739,15.0,16.0,0.5946238047790526,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00195000,2025-11-26 16:29:08+00:00,195.0,228.5,193.5,197.0,0.0,0.0,1.0,6.0,0.5930216479492189,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00200000,2025-12-12 20:09:13+00:00,200.0,191.36,190.5,194.0,-41.39,-17.78303,21.0,127.0,0.5932657861328126,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00210000,2025-12-12 18:59:55+00:00,210.0,185.55,183.5,187.0,-25.300003,-11.999053,17.0,67.0,0.5838817247009276,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00220000,2025-12-12 20:57:24+00:00,220.0,179.18,177.55,180.8,-38.820007,-17.807343,9.0,70.0,0.5811351701354981,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00230000,2025-12-11 20:39:52+00:00,230.0,214.75,171.0,174.5,0.0,0.0,13.0,87.0,0.5744366287231445,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00240000,2025-12-12 19:21:21+00:00,240.0,166.34,165.0,168.5,-32.51001,-16.349012,4.0,79.0,0.5699353309631348,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00250000,2025-12-12 20:22:46+00:00,250.0,157.75,159.5,163.0,-44.449997,-21.983185,38.0,68.0,0.5678906736755371,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00260000,2025-12-12 20:23:21+00:00,260.0,152.03,153.5,157.0,-41.22,-21.329884,6.0,100.0,0.5614057531738281,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00270000,2025-12-12 20:51:29+00:00,270.0,147.97,148.0,151.95,-34.559998,-18.933872,30.0,53.0,0.5588423022460938,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00280000,2025-12-12 19:22:16+00:00,280.0,144.5,142.5,146.5,-39.300003,-21.381939,70.0,212.0,0.5540816076660158,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00290000,2025-12-12 20:14:58+00:00,290.0,138.22,138.0,141.4,-34.679993,-20.057833,10.0,40.0,0.5526015199279786,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00300000,2025-12-12 20:04:47+00:00,300.0,132.33,133.15,136.5,-41.679993,-23.952644,78.0,939.0,0.549778672180176,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00310000,2025-12-12 15:25:18+00:00,310.0,133.66,128.0,132.0,-27.539993,-17.084364,4.0,125.0,0.5464599187469482,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00320000,2025-12-12 20:53:27+00:00,320.0,124.23,124.6,126.6,-31.269997,-20.109324,87.0,137.0,0.5447738394165039,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00330000,2025-12-12 18:35:58+00:00,330.0,123.84,119.0,122.9,-31.160004,-20.103228,41.0,168.0,0.5409591802978517,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00340000,2025-12-12 20:09:03+00:00,340.0,115.2,115.75,118.2,-36.800003,-24.21053,43.0,425.0,0.5401123259735109,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00350000,2025-12-12 20:49:54+00:00,350.0,113.0,111.55,114.8,-34.5,-23.389832,154.0,3882.0,0.5394714632415774,True,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00360000,2025-12-12 20:58:19+00:00,360.0,107.98,107.95,111.4,-32.549995,-23.162312,373.0,513.0,0.539692713470459,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00370000,2025-12-12 20:01:38+00:00,370.0,104.14,103.6,106.25,-34.229996,-24.73802,186.0,239.0,0.5328568443298338,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00380000,2025-12-12 20:51:29+00:00,380.0,99.71,100.3,102.45,-31.840004,-24.203726,199.0,344.0,0.5315980068206787,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00390000,2025-12-12 19:46:22+00:00,390.0,97.27,96.4,99.45,-33.560005,-25.651613,92.0,244.0,0.5302552468109132,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00400000,2025-12-12 20:53:16+00:00,400.0,93.39,93.95,95.4,-32.770004,-25.974957,359.0,815.0,0.529347357940674,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00410000,2025-12-12 17:10:48+00:00,410.0,89.25,90.0,92.0,-32.79,-26.868238,42.0,326.0,0.5258073542785646,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00420000,2025-12-12 19:09:10+00:00,420.0,86.84,86.65,90.5,-32.850006,-27.445906,156.0,306.0,0.5278825288391114,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00430000,2025-12-12 20:26:07+00:00,430.0,82.57,83.6,86.65,-33.730003,-29.002583,27.0,263.0,0.5244493356323242,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00440000,2025-12-12 20:04:08+00:00,440.0,80.77,80.85,83.7,-27.080002,-25.108948,91.0,112.0,0.5234651535797119,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00450000,2025-12-12 19:34:34+00:00,450.0,77.47,77.85,80.35,-29.64,-27.672485,81.0,306.0,0.5204515728759764,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00460000,2025-12-12 19:19:24+00:00,460.0,76.48,75.2,77.15,-22.589996,-22.802055,11.0,129.0,0.5182085533142089,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00470000,2025-12-12 20:51:29+00:00,470.0,72.67,72.5,75.5,-28.669998,-28.290901,30.0,74.0,0.5191393301391601,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00480000,2025-12-12 20:08:10+00:00,480.0,70.35,70.9,73.0,-28.980003,-29.175478,101.0,97.0,0.5202532106018065,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00490000,2025-12-12 17:59:34+00:00,490.0,70.65,67.55,70.55,-21.119995,-23.014051,4.0,93.0,0.5168963105773927,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00500000,2025-12-12 20:42:52+00:00,500.0,65.65,66.2,67.25,-26.349998,-28.641302,139.0,834.0,0.515904499206543,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00510000,2025-12-12 19:43:52+00:00,510.0,64.44,63.0,65.0,-25.909996,-28.677362,18.0,69.0,0.5126162630462645,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00520000,2025-12-12 20:42:52+00:00,520.0,61.35,60.75,63.0,-26.32,-30.021673,124.0,842.0,0.5118533312225341,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00540000,2025-12-12 20:05:02+00:00,540.0,57.45,56.85,58.75,-28.170002,-32.90119,38.0,144.0,0.510144363937378,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121C00560000,2025-12-12 20:28:49+00:00,560.0,53.06,53.4,55.9,-23.779995,-30.947416,122.0,1327.0,0.5116625982666017,False,REGULAR,USD,C,AVGO,2028-01-21,2025-12-14
AVGO280121P00170000,2025-12-12 20:56:51+00:00,170.0,13.8,13.6,14.15,2.1999998,18.965515,31.0,111.0,0.5055286264038085,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00175000,2025-12-12 20:29:52+00:00,175.0,15.1,14.6,15.2,2.3500004,18.431376,6.0,65.0,0.5021106918334962,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00180000,2025-12-12 19:39:42+00:00,180.0,16.0,15.7,16.25,2.5500002,18.95911,13.0,52.0,0.5019733641052246,False,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
